id	course_name	course_language	course_short_name	categories	universities	categories_name	universities_name
0	The Land Ethic Reclaimed: Perceptive Hunting, Aldo Leopold, and Conservation	en	perceptivehunting	[8, 10, 19, 20]	[65]	 Health & Society + Biology & Life Sciences + Food and Nutrition + Social Sciences	 University of Wisconsin–Madison
1	Contraception: Choices, Culture and Consequences	en	contraception	[3, 8]	[10]	 Medicine + Health & Society	 University of California, San Francisco
2	Introduction to Computational Arts: Processing	en	compartsprocessing	[1, 4, 18, 22]	[117]	 Computer Science: Theory + Information, Tech & Design + Music, Film, and Audio + Arts	 The State University of New York
3	Introduction to Programming with MATLAB	en	matlab	[12, 15]	[37]	 Computer Science: Software Engineering + Engineering	 Vanderbilt University
4	Introduction to Computing 计算概论A	zh-cn	pkuic	[1, 12]	[163]	 Computer Science: Theory + Computer Science: Software Engineering	 Peking University
5	Fundamentals of Fluid Power	en	fluidpower	[15]	[50]	 Engineering	 University of Minnesota
6	Microeconomics Principles	en	microecon	[2]	[17]	 Economics & Finance	 University of Illinois at Urbana-Champaign
7	Women in Leadership: Inspiring Positive Change	en	womeninleadership	[13, 14, 20]	[68]	 Business & Management + Education + Social Sciences	 Case Western Reserve University
8	The Science of the Solar System	en	solarsystem	[9, 23]	[12]	 Physical & Earth Sciences + Physics	 Caltech
9	An Introduction to Consumer Neuroscience & Neuromarketing 	en	neuromarketing	[1, 2, 3, 6, 10]	[175]	 Computer Science: Theory + Economics & Finance + Medicine + Humanities  + Biology & Life Sciences	 Copenhagen Business School
10	Cloud Networking	en	cloudnetworking	[11]	[17]	 Computer Science: Systems & Security	 University of Illinois at Urbana-Champaign
11	Data Mining Capstone	en	dataminingcapstone	[4, 12, 16, 17]	[17]	 Information, Tech & Design + Computer Science: Software Engineering + Statistics and Data Analysis + Computer Science: Artificial Intelligence	 University of Illinois at Urbana-Champaign
12	التقانة والمستشعرات النانوية	ar	nanosar	[10, 15, 24]	[129]	 Biology & Life Sciences + Engineering + Chemistry	 Technion - Israel Institute of Technology
